| path                                      | client_ip       | nrCalls since(20 jun 2025) from this ip |
|-------------------------------------------|-----------------|-----------------------------------------|
| /stage/api/healthcheck                    |                 | total: 78535                            |
|                                           | 149.202.160.40  | 26240                                   |
|                                           | 108.128.208.107 | 26216                                   |
|                                           | 34.243.34.76    | 147                                     |
|                                           | 54.74.197.235   | 147                                     |
|                                           | 52.48.160.71    | 146                                     |
|                                           | 3.250.241.236   | 145                                     |
|                                           | 52.214.121.191  | 145                                     |
|                                           | 54.154.22.56    | 145                                     |
|                                           | 18.201.40.254   | 144                                     |
|                                           | 3.252.14.86     | 144                                     |
|                                           | 34.247.37.222   | 144                                     |
|                                           | 63.33.55.124    | 144                                     |
|                                           | 108.129.147.76  | 143                                     |
|                                           | 18.202.233.14   | 143                                     |
|                                           | 34.245.189.243  | 143                                     |
|                                           | 54.78.104.219   | 143                                     |
|                                           | 176.34.81.31    | 142                                     |
|                                           | 34.242.169.139  | 142                                     |
|                                           | 34.245.224.126  | 142                                     |
|                                           | 52.212.44.138   | 142                                     |
|                                           | 54.155.189.17   | 142                                     |
|                                           | 108.129.187.231 | 141                                     |
|                                           | 18.202.227.150  | 141                                     |
|                                           | 3.249.253.235   | 141                                     |
|                                           | 3.251.255.52    | 141                                     |
|                                           | 3.252.127.254   | 141                                     |
|                                           | 3.253.60.98     | 141                                     |
|                                           | 34.253.30.163   | 141                                     |
|                                           | 34.255.180.135  | 141                                     |
|                                           | 52.215.19.20    | 141                                     |
|                                           | 54.246.215.154  | 141                                     |
|                                           | 18.203.245.152  | 140                                     |
|                                           | 3.250.100.238   | 140                                     |
|                                           | 3.250.61.189    | 140                                     |
|                                           | 3.253.232.201   | 140                                     |
|                                           | 34.243.102.231  | 140                                     |
|                                           | 34.244.51.112   | 140                                     |
|                                           | 34.245.126.105  | 140                                     |
|                                           | 108.129.250.250 | 139                                     |
|                                           | 108.129.70.207  | 139                                     |
|                                           | 18.201.71.148   | 139                                     |
|                                           | 3.255.105.144   | 139                                     |
|                                           | 54.195.156.159  | 139                                     |
|                                           | 54.216.149.40   | 139                                     |
|                                           | 108.129.200.76  | 138                                     |
|                                           | 108.130.66.129  | 138                                     |
|                                           | 3.252.69.94     | 138                                     |
|                                           | 3.255.85.8      | 138                                     |
|                                           | 54.154.208.119  | 138                                     |
|                                           | 54.170.24.56    | 138                                     |
|                                           | 34.244.95.51    | 137                                     |
|                                           | 52.214.31.64    | 137                                     |
|                                           | 54.194.192.169  | 137                                     |
|                                           | 54.247.3.92     | 137                                     |
|                                           | 54.74.143.22    | 137                                     |
|                                           | 18.201.255.175  | 136                                     |
|                                           | 3.250.10.245    | 136                                     |
|                                           | 34.240.200.218  | 136                                     |
|                                           | 54.194.114.116  | 136                                     |
|                                           | 108.130.94.135  | 135                                     |
|                                           | 3.248.227.171   | 135                                     |
|                                           | 3.249.229.238   | 135                                     |
|                                           | 3.250.133.102   | 135                                     |
|                                           | 3.250.186.244   | 135                                     |
|                                           | 3.252.101.56    | 135                                     |
|                                           | 3.254.207.171   | 135                                     |
|                                           | 34.242.94.15    | 135                                     |
|                                           | 52.16.33.172    | 135                                     |
|                                           | 54.217.9.11     | 135                                     |
|                                           | 108.130.20.227  | 134                                     |
|                                           | 3.249.134.184   | 134                                     |
|                                           | 34.240.211.72   | 134                                     |
|                                           | 34.248.209.42   | 134                                     |
|                                           | 34.254.162.68   | 134                                     |
|                                           | 34.254.96.96    | 134                                     |
|                                           | 3.248.215.132   | 133                                     |
|                                           | 3.250.86.241    | 133                                     |
|                                           | 3.253.78.83     | 133                                     |
|                                           | 3.255.195.14    | 133                                     |
|                                           | 34.245.217.59   | 133                                     |
|                                           | 54.78.193.87    | 133                                     |
|                                           | 34.250.171.203  | 132                                     |
|                                           | 34.250.175.37   | 132                                     |
|                                           | 54.154.151.231  | 132                                     |
|                                           | 54.217.180.59   | 132                                     |
|                                           | 54.74.27.133    | 132                                     |
|                                           | 176.34.170.64   | 131                                     |
|                                           | 18.201.221.108  | 131                                     |
|                                           | 3.248.221.118   | 131                                     |
|                                           | 3.252.27.159    | 131                                     |
|                                           | 34.241.151.217  | 131                                     |
|                                           | 34.244.99.218   | 131                                     |
|                                           | 34.247.162.254  | 131                                     |
|                                           | 34.254.244.213  | 131                                     |
|                                           | 52.209.234.223  | 131                                     |
|                                           | 54.220.116.95   | 131                                     |
|                                           | 108.130.13.88   | 130                                     |
|                                           | 18.201.140.11   | 130                                     |
|                                           | 34.244.153.214  | 130                                     |
|                                           | 54.246.57.115   | 130                                     |
|                                           | 3.250.154.160   | 129                                     |
|                                           | 34.240.197.21   | 129                                     |
|                                           | 46.137.5.99     | 129                                     |
|                                           | 108.130.87.219  | 128                                     |
|                                           | 18.202.225.99   | 128                                     |
|                                           | 34.240.235.51   | 128                                     |
|                                           | 34.248.177.104  | 128                                     |
|                                           | 34.250.208.192  | 128                                     |
|                                           | 52.215.15.131   | 128                                     |
|                                           | 54.77.87.253    | 128                                     |
|                                           | 54.78.88.42     | 128                                     |
|                                           | 108.129.72.90   | 127                                     |
|                                           | 108.130.14.65   | 127                                     |
|                                           | 18.201.154.50   | 127                                     |
|                                           | 3.252.227.164   | 127                                     |
|                                           | 34.242.101.193  | 127                                     |
|                                           | 34.254.89.220   | 127                                     |
|                                           | 52.213.158.115  | 127                                     |
|                                           | 3.250.14.208    | 126                                     |
|                                           | 3.254.190.191   | 126                                     |
|                                           | 34.241.102.203  | 126                                     |
|                                           | 54.171.249.146  | 126                                     |
|                                           | 54.216.246.226  | 126                                     |
|                                           | 18.200.244.107  | 125                                     |
|                                           | 3.248.195.183   | 125                                     |
|                                           | 3.253.98.250    | 125                                     |
|                                           | 34.254.246.10   | 125                                     |
|                                           | 54.229.203.103  | 125                                     |
|                                           | 63.35.169.141   | 125                                     |
|                                           | 3.250.89.129    | 124                                     |
|                                           | 3.253.45.116    | 124                                     |
|                                           | 34.244.124.222  | 124                                     |
|                                           | 34.249.156.248  | 124                                     |
|                                           | 52.18.2.54      | 124                                     |
|                                           | 52.51.38.134    | 124                                     |
|                                           | 54.155.115.245  | 124                                     |
|                                           | 54.74.66.36     | 124                                     |
|                                           | 108.129.162.112 | 123                                     |
|                                           | 3.251.180.44    | 123                                     |
|                                           | 3.253.2.208     | 123                                     |
|                                           | 34.240.8.102    | 123                                     |
|                                           | 34.240.97.251   | 123                                     |
|                                           | 34.251.226.134  | 123                                     |
|                                           | 34.252.197.20   | 123                                     |
|                                           | 52.214.129.63   | 123                                     |
|                                           | 52.50.158.238   | 123                                     |
|                                           | 54.154.194.55   | 123                                     |
|                                           | 108.129.244.51  | 122                                     |
|                                           | 18.201.146.158  | 122                                     |
|                                           | 34.242.222.218  | 122                                     |
|                                           | 34.244.134.73   | 122                                     |
|                                           | 34.244.168.34   | 122                                     |
|                                           | 34.251.46.22    | 122                                     |
|                                           | 52.211.79.143   | 122                                     |
|                                           | 52.19.235.159   | 121                                     |
|                                           | 3.252.230.237   | 120                                     |
|                                           | 34.246.191.228  | 120                                     |
|                                           | 52.18.218.180   | 120                                     |
|                                           | 18.202.251.210  | 119                                     |
|                                           | 3.249.205.242   | 119                                     |
|                                           | 3.251.175.56    | 119                                     |
|                                           | 3.251.226.226   | 119                                     |
|                                           | 3.251.253.98    | 119                                     |
|                                           | 3.252.60.54     | 119                                     |
|                                           | 3.253.36.169    | 119                                     |
|                                           | 34.244.105.4    | 119                                     |
|                                           | 34.245.125.14   | 119                                     |
|                                           | 52.17.222.138   | 119                                     |
|                                           | 52.49.96.54     | 119                                     |
|                                           | 18.201.199.250  | 118                                     |
|                                           | 3.252.127.225   | 118                                     |
|                                           | 34.243.97.254   | 118                                     |
|                                           | 34.251.191.65   | 118                                     |
|                                           | 52.51.164.22    | 118                                     |
|                                           | 54.155.47.136   | 118                                     |
|                                           | 54.171.138.191  | 118                                     |
|                                           | 54.78.34.232    | 118                                     |
|                                           | 108.130.36.85   | 117                                     |
|                                           | 3.249.143.39    | 117                                     |
|                                           | 34.244.193.138  | 117                                     |
|                                           | 52.31.196.217   | 117                                     |
|                                           | 176.34.213.95   | 116                                     |
|                                           | 3.252.194.253   | 116                                     |
|                                           | 3.254.174.111   | 116                                     |
|                                           | 34.255.178.173  | 116                                     |
|                                           | 52.215.204.250  | 116                                     |
|                                           | 52.49.142.198   | 115                                     |
|                                           | 54.78.20.214    | 113                                     |
|                                           | 63.35.220.23    | 110                                     |
|                                           | 34.240.98.106   | 99                                      |
|                                           | 3.251.233.138   | 95                                      |
|                                           | 54.74.65.198    | 92                                      |
|                                           | 54.72.226.32    | 90                                      |
|                                           | 54.217.31.51    | 89                                      |
|                                           | 52.16.47.100    | 88                                      |
|                                           | 3.249.37.208    | 85                                      |
|                                           | 18.202.225.41   | 79                                      |
|                                           | 34.245.11.60    | 79                                      |
|                                           | 54.194.122.114  | 77                                      |
|                                           | 34.248.197.62   | 72                                      |
|                                           | 3.253.107.55    | 67                                      |
|                                           | 3.255.86.246    | 55                                      |
|                                           | 3.255.59.210    | 54                                      |
|                                           | 34.244.121.52   | 53                                      |
|                                           | 18.203.69.157   | 49                                      |
|                                           | 54.78.120.181   | 47                                      |
|                                           | 3.253.251.69    | 42                                      |
|                                           | 54.246.151.173  | 42                                      |
|                                           | 3.252.241.150   | 40                                      |
|                                           | 34.244.42.215   | 39                                      |
|                                           | 34.245.184.149  | 39                                      |
|                                           | 3.248.200.249   | 29                                      |
|                                           | 3.254.125.245   | 28                                      |
|                                           | 34.247.183.130  | 25                                      |
|                                           | 52.212.136.192  | 24                                      |
|                                           | 54.170.65.156   | 24                                      |
|                                           | 3.249.180.178   | 19                                      |
|                                           | 108.130.62.34   | 16                                      |
|                                           | 18.203.221.59   | 15                                      |
|                                           | 34.243.76.206   | 15                                      |
|                                           | 54.194.8.150    | 11                                      |
|                                           | 34.245.55.106   | 10                                      |
|                                           | 54.75.14.53     | 10                                      |
|                                           | 34.242.182.51   | 9                                       |
|                                           | 63.32.94.206    | 9                                       |
|                                           | 3.250.174.188   | 8                                       |
|                                           | 52.210.82.219   | 7                                       |
|                                           | 3.254.143.90    | 6                                       |
|                                           | 34.252.185.66   | 6                                       |
|                                           | 3.249.74.36     | 2                                       |
|                                           | 3.252.0.128     | 2                                       |
| /stage/api/{id1}/orders/{id2}/references  |                 | total: 12987                            |
|                                           | 57.128.35.69    | 7053                                    |
|                                           | 34.246.101.28   | 5934                                    |
| /stage/api/public/quotes/complete/selling |                 | total: 3177                             |
|                                           | 54.239.113.195  | 191                                     |
|                                           | 54.239.113.235  | 189                                     |
|                                           | 54.239.113.198  | 188                                     |
|                                           | 54.239.113.234  | 187                                     |
|                                           | 54.239.113.150  | 179                                     |
|                                           | 54.239.113.149  | 177                                     |
|                                           | 54.239.113.194  | 176                                     |
|                                           | 54.239.113.233  | 172                                     |
|                                           | 54.239.113.240  | 167                                     |
|                                           | 54.239.113.236  | 165                                     |
|                                           | 54.239.113.142  | 164                                     |
|                                           | 54.239.113.237  | 157                                     |
|                                           | 54.239.113.145  | 147                                     |
|                                           | 54.239.113.241  | 140                                     |
|                                           | 54.239.113.197  | 139                                     |
|                                           | 54.239.113.243  | 137                                     |
|                                           | 54.239.113.242  | 133                                     |
